Wall time,Step,Value
1564428733.6895702,0,322.42108154296875
1564428745.838403,1,73.58989715576172
1564428757.9317145,2,67.2920913696289
1564428770.109179,3,56.62303161621094
1564428782.2487767,4,61.83882141113281
1564428794.449932,5,55.6768798828125
1564428806.710767,6,61.568443298339844
1564428818.9702866,7,58.789207458496094
1564428831.274576,8,58.632713317871094
1564428843.5448627,9,51.039146423339844
1564428855.8629391,10,52.120628356933594
1564428868.1291564,11,54.5945930480957
1564428880.5100863,12,53.351219177246094
1564428892.9124315,13,52.97126770019531
1564428905.9352808,14,52.736228942871094
1564428918.7964664,15,57.48767852783203
1564428931.7576654,16,49.00302505493164
1564428944.802718,17,48.73733139038086
1564428957.5247242,18,53.326377868652344
1564428971.7092113,19,51.66974639892578
1564428985.4566827,20,52.04643249511719
1564428998.2623906,21,49.155670166015625
1564429011.2884212,22,50.591705322265625
1564429023.996991,23,55.33323669433594
1564429036.9094882,24,51.11014175415039
1564429050.3319979,25,50.10852813720703
1564429063.6567566,26,55.283206939697266
