Wall time,Step,Value
1564429267.6357527,0,0.0008092579082585871
1564429322.266695,1,0.0001652663922868669
1564429333.639345,2,5.931559644523077e-05
1564429344.7588236,3,4.434449510881677e-05
1564429355.8782058,4,3.8786638469900936e-05
1564429367.2470033,5,3.5649882192956284e-05
1564429378.4883995,6,3.350509359734133e-05
1564429390.108116,7,3.2056566851679236e-05
1564429401.7496471,8,3.019802716153208e-05
1564429413.3829257,9,2.954937008325942e-05
1564429424.9189205,10,3.0245202651713043e-05
1564429436.5427556,11,2.8109701815992594e-05
1564429448.314712,12,2.7869549739989452e-05
1564429460.3313115,13,2.7702993975253776e-05
1564429472.4624634,14,2.723941179283429e-05
1564429484.7072828,15,2.6673887987271883e-05
1564429497.0484905,16,2.636742101458367e-05
1564429509.220982,17,2.6847603294299915e-05
1564429521.0951405,18,2.6348827304900624e-05
1564429532.7039683,19,2.611420495668426e-05
1564429544.6276102,20,2.565690374467522e-05
1564429556.449141,21,2.5682118575787172e-05
1564429568.118971,22,2.5472932975389995e-05
1564429579.6987104,23,2.5555720640113577e-05
1564429591.7662055,24,2.525561831134837e-05
1564429603.7247055,25,2.5026374714798294e-05
1564429615.851292,26,2.4941351512097754e-05
