Wall time,Step,Value
1564429803.8107553,0,433.01019287109375
1564429852.9728434,1,91.08978271484375
1564429863.7067847,2,78.77326965332031
1564429874.426567,3,70.05032348632812
1564429885.1083736,4,68.16946411132812
1564429895.7800431,5,68.00285339355469
1564429906.6839511,6,62.175148010253906
1564429917.506405,7,64.38076782226562
1564429928.3425932,8,56.882057189941406
1564429939.2249506,9,53.780426025390625
1564429950.2108953,10,50.92488098144531
1564429961.4684448,11,50.741355895996094
1564429972.9453177,12,50.38068389892578
1564429983.9892197,13,59.81214904785156
1564429995.2282407,14,50.32750701904297
1564430006.7091608,15,53.32506561279297
1564430017.9662385,16,48.57490539550781
1564430029.3016973,17,50.964988708496094
1564430040.7770128,18,50.229034423828125
1564430052.1001246,19,55.209877014160156
1564430063.4404197,20,46.827022552490234
1564430075.0543334,21,49.01873779296875
1564430086.3553228,22,50.16242599487305
1564430097.8353474,23,51.5626335144043
1564430109.481258,24,55.21949005126953
1564430121.1374938,25,49.732826232910156
1564430132.2782736,26,46.333831787109375
