Wall time,Step,Value
1564430749.3272448,0,368.09063720703125
1564430790.1809611,1,54.82542419433594
1564430798.1168585,2,47.057403564453125
1564430806.0030272,3,41.81932067871094
1564430813.941003,4,39.65021514892578
1564430821.853201,5,35.572837829589844
1564430829.7965279,6,34.508811950683594
1564430837.6330557,7,35.937103271484375
1564430845.6956296,8,34.09897232055664
1564430853.748418,9,36.07444763183594
1564430861.9028437,10,36.37488555908203
1564430870.205638,11,34.55949020385742
1564430878.3417552,12,33.805564880371094
1564430886.659317,13,32.41099548339844
1564430895.183101,14,33.359657287597656
1564430903.4968517,15,34.446624755859375
1564430911.7554908,16,32.49493408203125
1564430920.2902577,17,32.30626678466797
1564430928.7473347,18,34.37616729736328
1564430937.1150932,19,33.75043869018555
1564430945.3277822,20,34.33715057373047
1564430953.7823253,21,32.42842102050781
1564430962.1385584,22,32.993125915527344
1564430970.6041636,23,35.81523132324219
1564430979.010284,24,28.212970733642578
1564430987.5562031,25,31.425952911376953
1564430996.102585,26,34.370426177978516
