Wall time,Step,Value
1564430745.859931,0,0.0024804575368762016
1564430789.727596,1,0.000317568687023595
1564430797.6477573,2,9.309584129368886e-05
1564430805.5499003,3,6.53564857202582e-05
1564430813.4882393,4,5.393024912336841e-05
1564430821.392275,5,4.662402716348879e-05
1564430829.337482,6,4.206732410239056e-05
1564430837.1717317,7,3.8709094951627776e-05
1564430845.226568,8,3.6339177313493565e-05
1564430853.283043,9,3.465537156444043e-05
1564430861.4327388,10,3.289994492661208e-05
1564430869.7442315,11,3.234218820580281e-05
1564430877.845464,12,3.062365067307837e-05
1564430886.1794124,13,2.9769696993753314e-05
1564430894.7165008,14,2.9366457965807058e-05
1564430903.0096033,15,2.8459448003559373e-05
1564430911.2758772,16,2.7900632630917244e-05
1564430919.8143973,17,2.748229235294275e-05
1564430928.2545822,18,2.73461700999178e-05
1564430936.6522737,19,2.647766268637497e-05
1564430944.8270607,20,2.6554398573352955e-05
1564430953.2823188,21,2.589949144748971e-05
1564430961.6480339,22,2.5780944270081818e-05
1564430970.0714374,23,2.570945980551187e-05
1564430978.5222285,24,2.4733950340305455e-05
1564430987.0477293,25,2.5125611500698142e-05
1564430995.6118712,26,2.4589297026977874e-05
