Wall time,Step,Value
1564429272.3839312,0,228.44943237304688
1564429322.7960327,1,128.14227294921875
1564429334.1694365,2,100.28282165527344
1564429345.26776,3,97.03231048583984
1564429356.393653,4,96.21080780029297
1564429367.7725592,5,88.15594482421875
1564429378.9992855,6,87.22605895996094
1564429390.6228871,7,84.05868530273438
1564429402.2680185,8,81.35380554199219
1564429413.8958073,9,78.00875091552734
1564429425.4736729,10,80.522216796875
1564429437.059497,11,78.80052185058594
1564429448.8644755,12,78.36474609375
1564429460.886393,13,75.73699951171875
1564429473.0293043,14,80.68639373779297
1564429485.2750657,15,75.30255126953125
1564429497.6103022,16,80.29981994628906
1564429509.7920904,17,76.35437774658203
1564429521.634142,18,76.11881256103516
1564429533.2409031,19,74.84571838378906
1564429545.1693037,20,78.05561065673828
1564429556.9929035,21,75.61996459960938
1564429568.701556,22,75.06012725830078
1564429580.275105,23,74.62725830078125
1564429592.3427138,24,75.92708587646484
1564429604.3030384,25,79.61576080322266
1564429616.4206712,26,73.43658447265625
