Wall time,Step,Value
1564429800.0002987,0,0.0013889510883018374
1564429852.4563735,1,0.00022481009364128113
1564429863.195166,2,7.564402039861307e-05
1564429873.9044201,3,5.477869126480073e-05
1564429884.606255,4,4.627339149010368e-05
1564429895.2683172,5,4.2410436435602605e-05
1564429906.1368046,6,3.9526174077764153e-05
1564429916.9756489,7,3.728175943251699e-05
1564429927.823384,8,3.552211637725122e-05
1564429938.6775112,9,3.4567263355711475e-05
1564429949.6981065,10,3.2986063160933554e-05
1564429960.947841,11,3.3008964237524197e-05
1564429972.3945467,12,3.192328949808143e-05
1564429983.4496932,13,3.110380202997476e-05
1564429994.6384494,14,3.116294101346284e-05
1564430006.1516302,15,3.0319057259475812e-05
1564430017.406716,16,3.0093800887698308e-05
1564430028.7297282,17,2.9510441891034134e-05
1564430040.1987224,18,2.9471666493918747e-05
1564430051.5348566,19,2.8759963242919184e-05
1564430062.863063,20,2.8858456062152982e-05
1564430074.537882,21,2.8578673664014786e-05
1564430085.8171825,22,2.8180822482681833e-05
1564430097.2839353,23,2.7701720682671294e-05
1564430108.9052942,24,2.8287109671509825e-05
1564430120.5604668,25,2.8018863304168917e-05
1564430131.735846,26,2.7282238079351373e-05
