Wall time,Step,Value
1564428732.9441504,0,0.0005233944393694401
1564428745.2877724,1,0.00010305609612260014
1564428757.3921247,2,3.641785588115454e-05
1564428769.549826,3,2.8889155146316625e-05
1564428781.703041,4,2.6020841687568463e-05
1564428793.915926,5,2.4345641577383503e-05
1564428806.163454,6,2.3324319045059383e-05
1564428818.4271905,7,2.2611655367654748e-05
1564428830.7336965,8,2.188905273214914e-05
1564428842.9978209,9,2.150317777704913e-05
1564428855.3183253,10,2.1161584299989045e-05
1564428867.587063,11,2.085595224343706e-05
1564428879.9523242,12,2.0325740479165688e-05
1564428892.3662724,13,2.04542502615368e-05
1564428905.322324,14,2.011910328292288e-05
1564428918.2134364,15,2.0100018446100876e-05
1564428931.19166,16,1.9597804566728882e-05
1564428944.239834,17,1.9823892216663808e-05
1564428956.9254503,18,1.9277351384516805e-05
1564428971.1477277,19,1.929913014464546e-05
1564428984.8518925,20,1.907877594931051e-05
1564428997.655842,21,1.9123612219118513e-05
1564429010.73372,22,1.9061762941419147e-05
1564429023.4108245,23,1.876580427051522e-05
1564429036.3348274,24,1.8696744518820196e-05
1564429049.7499158,25,1.8606058802106418e-05
1564429063.0695033,26,1.8554108464741148e-05
